| Year | Type | 1st January |
| ---- | ---- | ----------- |
| 1583 | Common | [Saturday](./common/saturday/index.txt) |
| 1584 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1585 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1586 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1587 | Common | [Thursday](./common/thursday/index.txt) |
| 1588 | Leap | [Friday](./leap/friday/index.txt) |
| 1589 | Common | [Sunday](./common/sunday/index.txt) |
| 1590 | Common | [Monday](./common/monday/index.txt) |
| 1591 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1592 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1593 | Common | [Friday](./common/friday/index.txt) |
| 1594 | Common | [Saturday](./common/saturday/index.txt) |
| 1595 | Common | [Sunday](./common/sunday/index.txt) |
| 1596 | Leap | [Monday](./leap/monday/index.txt) |
| 1597 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1598 | Common | [Thursday](./common/thursday/index.txt) |
| 1599 | Common | [Friday](./common/friday/index.txt) |
| 1600 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1601 | Common | [Monday](./common/monday/index.txt) |
| 1602 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1603 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1604 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1605 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1606 | Common | [Sunday](./common/sunday/index.txt) |
| 1607 | Common | [Monday](./common/monday/index.txt) |
| 1608 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1609 | Common | [Thursday](./common/thursday/index.txt) |
| 1610 | Common | [Friday](./common/friday/index.txt) |
| 1611 | Common | [Saturday](./common/saturday/index.txt) |
| 1612 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1613 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1614 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1615 | Common | [Thursday](./common/thursday/index.txt) |
| 1616 | Leap | [Friday](./leap/friday/index.txt) |
| 1617 | Common | [Sunday](./common/sunday/index.txt) |
| 1618 | Common | [Monday](./common/monday/index.txt) |
| 1619 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1620 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1621 | Common | [Friday](./common/friday/index.txt) |
| 1622 | Common | [Saturday](./common/saturday/index.txt) |
| 1623 | Common | [Sunday](./common/sunday/index.txt) |
| 1624 | Leap | [Monday](./leap/monday/index.txt) |
| 1625 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1626 | Common | [Thursday](./common/thursday/index.txt) |
| 1627 | Common | [Friday](./common/friday/index.txt) |
| 1628 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1629 | Common | [Monday](./common/monday/index.txt) |
| 1630 | Common | [Tuesday](./common/tuesday/index.txt) |
