| Year | Type | 1st January |
| 1631 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1632 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1633 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1634 | Common | [Sunday](./common/sunday/index.txt) |
| 1635 | Common | [Monday](./common/monday/index.txt) |
| 1636 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1637 | Common | [Thursday](./common/thursday/index.txt) |
| 1638 | Common | [Friday](./common/friday/index.txt) |
| 1639 | Common | [Saturday](./common/saturday/index.txt) |
| 1640 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1641 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1642 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1643 | Common | [Thursday](./common/thursday/index.txt) |
| 1644 | Leap | [Friday](./leap/friday/index.txt) |
| 1645 | Common | [Sunday](./common/sunday/index.txt) |
| 1646 | Common | [Monday](./common/monday/index.txt) |
| 1647 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1648 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1649 | Common | [Friday](./common/friday/index.txt) |
| 1650 | Common | [Saturday](./common/saturday/index.txt) |
| 1651 | Common | [Sunday](./common/sunday/index.txt) |
| 1652 | Leap | [Monday](./leap/monday/index.txt) |
| 1653 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1654 | Common | [Thursday](./common/thursday/index.txt) |
| 1655 | Common | [Friday](./common/friday/index.txt) |
| 1656 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1657 | Common | [Monday](./common/monday/index.txt) |
| 1658 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1659 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1660 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1661 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1662 | Common | [Sunday](./common/sunday/index.txt) |
| 1663 | Common | [Monday](./common/monday/index.txt) |
| 1664 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1665 | Common | [Thursday](./common/thursday/index.txt) |
| 1666 | Common | [Friday](./common/friday/index.txt) |
| 1667 | Common | [Saturday](./common/saturday/index.txt) |
| 1668 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1669 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1670 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1671 | Common | [Thursday](./common/thursday/index.txt) |
| 1672 | Leap | [Friday](./leap/friday/index.txt) |
| 1673 | Common | [Sunday](./common/sunday/index.txt) |
| 1674 | Common | [Monday](./common/monday/index.txt) |
| 1675 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1676 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1677 | Common | [Friday](./common/friday/index.txt) |
| 1678 | Common | [Saturday](./common/saturday/index.txt) |
| 1679 | Common | [Sunday](./common/sunday/index.txt) |
| 1680 | Leap | [Monday](./leap/monday/index.txt) |
| 1681 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1682 | Common | [Thursday](./common/thursday/index.txt) |
| 1683 | Common | [Friday](./common/friday/index.txt) |
| 1684 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1685 | Common | [Monday](./common/monday/index.txt) |
| 1686 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1687 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1688 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1689 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1690 | Common | [Sunday](./common/sunday/index.txt) |
| 1691 | Common | [Monday](./common/monday/index.txt) |
| 1692 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1693 | Common | [Thursday](./common/thursday/index.txt) |
| 1694 | Common | [Friday](./common/friday/index.txt) |
| 1695 | Common | [Saturday](./common/saturday/index.txt) |
| 1696 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1697 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1698 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1699 | Common | [Thursday](./common/thursday/index.txt) |
| 1700 | Common | [Friday](./common/friday/index.txt) |
| 1701 | Common | [Saturday](./common/saturday/index.txt) |
| 1702 | Common | [Sunday](./common/sunday/index.txt) |
| 1703 | Common | [Monday](./common/monday/index.txt) |
| 1704 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1705 | Common | [Thursday](./common/thursday/index.txt) |
| 1706 | Common | [Friday](./common/friday/index.txt) |
| 1707 | Common | [Saturday](./common/saturday/index.txt) |
| 1708 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1709 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1710 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1711 | Common | [Thursday](./common/thursday/index.txt) |
| 1712 | Leap | [Friday](./leap/friday/index.txt) |
| 1713 | Common | [Sunday](./common/sunday/index.txt) |
| 1714 | Common | [Monday](./common/monday/index.txt) |
| 1715 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1716 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1717 | Common | [Friday](./common/friday/index.txt) |
| 1718 | Common | [Saturday](./common/saturday/index.txt) |
| 1719 | Common | [Sunday](./common/sunday/index.txt) |
| 1720 | Leap | [Monday](./leap/monday/index.txt) |
| 1721 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1722 | Common | [Thursday](./common/thursday/index.txt) |
| 1723 | Common | [Friday](./common/friday/index.txt) |
| 1724 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1725 | Common | [Monday](./common/monday/index.txt) |
| 1726 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1727 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1728 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1729 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1730 | Common | [Sunday](./common/sunday/index.txt) |
| 1731 | Common | [Monday](./common/monday/index.txt) |
| 1732 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1733 | Common | [Thursday](./common/thursday/index.txt) |
| 1734 | Common | [Friday](./common/friday/index.txt) |
| 1735 | Common | [Saturday](./common/saturday/index.txt) |
| 1736 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1737 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1738 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1739 | Common | [Thursday](./common/thursday/index.txt) |
| 1740 | Leap | [Friday](./leap/friday/index.txt) |
| 1741 | Common | [Sunday](./common/sunday/index.txt) |
| 1742 | Common | [Monday](./common/monday/index.txt) |
| 1743 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1744 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1745 | Common | [Friday](./common/friday/index.txt) |
| 1746 | Common | [Saturday](./common/saturday/index.txt) |
| 1747 | Common | [Sunday](./common/sunday/index.txt) |
| 1748 | Leap | [Monday](./leap/monday/index.txt) |
| 1749 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1750 | Common | [Thursday](./common/thursday/index.txt) |
| 1751 | Common | [Friday](./common/friday/index.txt) |
| 1752 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1753 | Common | [Monday](./common/monday/index.txt) |
| 1754 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1755 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1756 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1757 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1758 | Common | [Sunday](./common/sunday/index.txt) |
| 1759 | Common | [Monday](./common/monday/index.txt) |
| 1760 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1761 | Common | [Thursday](./common/thursday/index.txt) |
| 1762 | Common | [Friday](./common/friday/index.txt) |
| 1763 | Common | [Saturday](./common/saturday/index.txt) |
| 1764 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1765 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1766 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1767 | Common | [Thursday](./common/thursday/index.txt) |
| 1768 | Leap | [Friday](./leap/friday/index.txt) |
| 1769 | Common | [Sunday](./common/sunday/index.txt) |
| 1770 | Common | [Monday](./common/monday/index.txt) |
| 1771 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1772 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1773 | Common | [Friday](./common/friday/index.txt) |
| 1774 | Common | [Saturday](./common/saturday/index.txt) |
| 1775 | Common | [Sunday](./common/sunday/index.txt) |
| 1776 | Leap | [Monday](./leap/monday/index.txt) |
| 1777 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1778 | Common | [Thursday](./common/thursday/index.txt) |
| 1779 | Common | [Friday](./common/friday/index.txt) |
| 1780 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1781 | Common | [Monday](./common/monday/index.txt) |
| 1782 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1783 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1784 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1785 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1786 | Common | [Sunday](./common/sunday/index.txt) |
| 1787 | Common | [Monday](./common/monday/index.txt) |
| 1788 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1789 | Common | [Thursday](./common/thursday/index.txt) |
| 1790 | Common | [Friday](./common/friday/index.txt) |
| 1791 | Common | [Saturday](./common/saturday/index.txt) |
| 1792 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1793 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1794 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1795 | Common | [Thursday](./common/thursday/index.txt) |
| 1796 | Leap | [Friday](./leap/friday/index.txt) |
| 1797 | Common | [Sunday](./common/sunday/index.txt) |
| 1798 | Common | [Monday](./common/monday/index.txt) |
| 1799 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1800 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1801 | Common | [Thursday](./common/thursday/index.txt) |
| 1802 | Common | [Friday](./common/friday/index.txt) |
| 1803 | Common | [Saturday](./common/saturday/index.txt) |
| 1804 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1805 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1806 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1807 | Common | [Thursday](./common/thursday/index.txt) |
| 1808 | Leap | [Friday](./leap/friday/index.txt) |
| 1809 | Common | [Sunday](./common/sunday/index.txt) |
| 1810 | Common | [Monday](./common/monday/index.txt) |
| 1811 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1812 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1813 | Common | [Friday](./common/friday/index.txt) |
| 1814 | Common | [Saturday](./common/saturday/index.txt) |
| 1815 | Common | [Sunday](./common/sunday/index.txt) |
| 1816 | Leap | [Monday](./leap/monday/index.txt) |
| 1817 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1818 | Common | [Thursday](./common/thursday/index.txt) |
| 1819 | Common | [Friday](./common/friday/index.txt) |
| 1820 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1821 | Common | [Monday](./common/monday/index.txt) |
| 1822 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1823 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1824 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1825 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1826 | Common | [Sunday](./common/sunday/index.txt) |
| 1827 | Common | [Monday](./common/monday/index.txt) |
| 1828 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1829 | Common | [Thursday](./common/thursday/index.txt) |
| 1830 | Common | [Friday](./common/friday/index.txt) |
| 1831 | Common | [Saturday](./common/saturday/index.txt) |
| 1832 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1833 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1834 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1835 | Common | [Thursday](./common/thursday/index.txt) |
| 1836 | Leap | [Friday](./leap/friday/index.txt) |
| 1837 | Common | [Sunday](./common/sunday/index.txt) |
| 1838 | Common | [Monday](./common/monday/index.txt) |
| 1839 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1840 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1841 | Common | [Friday](./common/friday/index.txt) |
| 1842 | Common | [Saturday](./common/saturday/index.txt) |
| 1843 | Common | [Sunday](./common/sunday/index.txt) |
| 1844 | Leap | [Monday](./leap/monday/index.txt) |
| 1845 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1846 | Common | [Thursday](./common/thursday/index.txt) |
| 1847 | Common | [Friday](./common/friday/index.txt) |
| 1848 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1849 | Common | [Monday](./common/monday/index.txt) |
| 1850 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1851 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1852 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1853 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1854 | Common | [Sunday](./common/sunday/index.txt) |
| 1855 | Common | [Monday](./common/monday/index.txt) |
| 1856 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1857 | Common | [Thursday](./common/thursday/index.txt) |
| 1858 | Common | [Friday](./common/friday/index.txt) |
| 1859 | Common | [Saturday](./common/saturday/index.txt) |
| 1860 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1861 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1862 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1863 | Common | [Thursday](./common/thursday/index.txt) |
| 1864 | Leap | [Friday](./leap/friday/index.txt) |
| 1865 | Common | [Sunday](./common/sunday/index.txt) |
| 1866 | Common | [Monday](./common/monday/index.txt) |
| 1867 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1868 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1869 | Common | [Friday](./common/friday/index.txt) |
| 1870 | Common | [Saturday](./common/saturday/index.txt) |
| 1871 | Common | [Sunday](./common/sunday/index.txt) |
| 1872 | Leap | [Monday](./leap/monday/index.txt) |
| 1873 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1874 | Common | [Thursday](./common/thursday/index.txt) |
| 1875 | Common | [Friday](./common/friday/index.txt) |
| 1876 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1877 | Common | [Monday](./common/monday/index.txt) |
| 1878 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1879 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1880 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1881 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1882 | Common | [Sunday](./common/sunday/index.txt) |
| 1883 | Common | [Monday](./common/monday/index.txt) |
| 1884 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1885 | Common | [Thursday](./common/thursday/index.txt) |
| 1886 | Common | [Friday](./common/friday/index.txt) |
| 1887 | Common | [Saturday](./common/saturday/index.txt) |
| 1888 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1889 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1890 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1891 | Common | [Thursday](./common/thursday/index.txt) |
| 1892 | Leap | [Friday](./leap/friday/index.txt) |
| 1893 | Common | [Sunday](./common/sunday/index.txt) |
| 1894 | Common | [Monday](./common/monday/index.txt) |
| 1895 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1896 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1897 | Common | [Friday](./common/friday/index.txt) |
| 1898 | Common | [Saturday](./common/saturday/index.txt) |
| 1899 | Common | [Sunday](./common/sunday/index.txt) |
| 1900 | Common | [Monday](./common/monday/index.txt) |
| 1901 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1902 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1903 | Common | [Thursday](./common/thursday/index.txt) |
| 1904 | Leap | [Friday](./leap/friday/index.txt) |
| 1905 | Common | [Sunday](./common/sunday/index.txt) |
| 1906 | Common | [Monday](./common/monday/index.txt) |
| 1907 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1908 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1909 | Common | [Friday](./common/friday/index.txt) |
| 1910 | Common | [Saturday](./common/saturday/index.txt) |
| 1911 | Common | [Sunday](./common/sunday/index.txt) |
| 1912 | Leap | [Monday](./leap/monday/index.txt) |
| 1913 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1914 | Common | [Thursday](./common/thursday/index.txt) |
| 1915 | Common | [Friday](./common/friday/index.txt) |
| 1916 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1917 | Common | [Monday](./common/monday/index.txt) |
| 1918 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1919 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1920 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1921 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1922 | Common | [Sunday](./common/sunday/index.txt) |
| 1923 | Common | [Monday](./common/monday/index.txt) |
| 1924 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1925 | Common | [Thursday](./common/thursday/index.txt) |
| 1926 | Common | [Friday](./common/friday/index.txt) |
| 1927 | Common | [Saturday](./common/saturday/index.txt) |
| 1928 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1929 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1930 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1931 | Common | [Thursday](./common/thursday/index.txt) |
| 1932 | Leap | [Friday](./leap/friday/index.txt) |
| 1933 | Common | [Sunday](./common/sunday/index.txt) |
| 1934 | Common | [Monday](./common/monday/index.txt) |
| 1935 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1936 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1937 | Common | [Friday](./common/friday/index.txt) |
| 1938 | Common | [Saturday](./common/saturday/index.txt) |
| 1939 | Common | [Sunday](./common/sunday/index.txt) |
| 1940 | Leap | [Monday](./leap/monday/index.txt) |
| 1941 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1942 | Common | [Thursday](./common/thursday/index.txt) |
| 1943 | Common | [Friday](./common/friday/index.txt) |
| 1944 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1945 | Common | [Monday](./common/monday/index.txt) |
| 1946 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1947 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1948 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1949 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1950 | Common | [Sunday](./common/sunday/index.txt) |
| 1951 | Common | [Monday](./common/monday/index.txt) |
| 1952 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1953 | Common | [Thursday](./common/thursday/index.txt) |
| 1954 | Common | [Friday](./common/friday/index.txt) |
| 1955 | Common | [Saturday](./common/saturday/index.txt) |
| 1956 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1957 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1958 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1959 | Common | [Thursday](./common/thursday/index.txt) |
| 1960 | Leap | [Friday](./leap/friday/index.txt) |
| 1961 | Common | [Sunday](./common/sunday/index.txt) |
| 1962 | Common | [Monday](./common/monday/index.txt) |
| 1963 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1964 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1965 | Common | [Friday](./common/friday/index.txt) |
| 1966 | Common | [Saturday](./common/saturday/index.txt) |
| 1967 | Common | [Sunday](./common/sunday/index.txt) |
| 1968 | Leap | [Monday](./leap/monday/index.txt) |
| 1969 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1970 | Common | [Thursday](./common/thursday/index.txt) |
| 1971 | Common | [Friday](./common/friday/index.txt) |
| 1972 | Leap | [Saturday](./leap/saturday/index.txt) |
| 1973 | Common | [Monday](./common/monday/index.txt) |
| 1974 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1975 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1976 | Leap | [Thursday](./leap/thursday/index.txt) |
| 1977 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 1978 | Common | [Sunday](./common/sunday/index.txt) |
| 1979 | Common | [Monday](./common/monday/index.txt) |
| 1980 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 1981 | Common | [Thursday](./common/thursday/index.txt) |
| 1982 | Common | [Friday](./common/friday/index.txt) |
| 1983 | Common | [Saturday](./common/saturday/index.txt) |
| 1984 | Leap | [Sunday](./leap/sunday/index.txt) |
| 1985 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1986 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1987 | Common | [Thursday](./common/thursday/index.txt) |
| 1988 | Leap | [Friday](./leap/friday/index.txt) |
| 1989 | Common | [Sunday](./common/sunday/index.txt) |
| 1990 | Common | [Monday](./common/monday/index.txt) |
| 1991 | Common | [Tuesday](./common/tuesday/index.txt) |
| 1992 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 1993 | Common | [Friday](./common/friday/index.txt) |
| 1994 | Common | [Saturday](./common/saturday/index.txt) |
| 1995 | Common | [Sunday](./common/sunday/index.txt) |
| 1996 | Leap | [Monday](./leap/monday/index.txt) |
| 1997 | Common | [Wednesday](./common/wednesday/index.txt) |
| 1998 | Common | [Thursday](./common/thursday/index.txt) |
| 1999 | Common | [Friday](./common/friday/index.txt) |
| 2000 | Leap | [Saturday](./leap/saturday/index.txt) |
| 2001 | Common | [Monday](./common/monday/index.txt) |
| 2002 | Common | [Tuesday](./common/tuesday/index.txt) |
| 2003 | Common | [Wednesday](./common/wednesday/index.txt) |
| 2004 | Leap | [Thursday](./leap/thursday/index.txt) |
| 2005 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 2006 | Common | [Sunday](./common/sunday/index.txt) |
| 2007 | Common | [Monday](./common/monday/index.txt) |
| 2008 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 2009 | Common | [Thursday](./common/thursday/index.txt) |
| 2010 | Common | [Friday](./common/friday/index.txt) |
| 2011 | Common | [Saturday](./common/saturday/index.txt) |
| 2012 | Leap | [Sunday](./leap/sunday/index.txt) |
| 2013 | Common | [Tuesday](./common/tuesday/index.txt) |
| 2014 | Common | [Wednesday](./common/wednesday/index.txt) |
| 2015 | Common | [Thursday](./common/thursday/index.txt) |
| 2016 | Leap | [Friday](./leap/friday/index.txt) |
| 2017 | Common | [Sunday](./common/sunday/index.txt) |
| 2018 | Common | [Monday](./common/monday/index.txt) |
| 2019 | Common | [Tuesday](./common/tuesday/index.txt) |
| 2020 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 2021 | Common | [Friday](./common/friday/index.txt) |
| 2022 | Common | [Saturday](./common/saturday/index.txt) |
| 2023 | Common | [Sunday](./common/sunday/index.txt) |
| 2024 | Leap | [Monday](./leap/monday/index.txt) |
| 2025 | Common | [Wednesday](./common/wednesday/index.txt) |
| 2026 | Common | [Thursday](./common/thursday/index.txt) |
| 2027 | Common | [Friday](./common/friday/index.txt) |
| 2028 | Leap | [Saturday](./leap/saturday/index.txt) |
| 2029 | Common | [Monday](./common/monday/index.txt) |
| 2030 | Common | [Tuesday](./common/tuesday/index.txt) |
| 2031 | Common | [Wednesday](./common/wednesday/index.txt) |
| 2032 | Leap | [Thursday](./leap/thursday/index.txt) |
| 2033 | Common | [Saturday-W53](./common/saturday-w53/index.txt) |
| 2034 | Common | [Sunday](./common/sunday/index.txt) |
| 2035 | Common | [Monday](./common/monday/index.txt) |
| 2036 | Leap | [Tuesday](./leap/tuesday/index.txt) |
| 2037 | Common | [Thursday](./common/thursday/index.txt) |
| 2038 | Common | [Friday](./common/friday/index.txt) |
| 2039 | Common | [Saturday](./common/saturday/index.txt) |
| 2040 | Leap | [Sunday](./leap/sunday/index.txt) |
| 2041 | Common | [Tuesday](./common/tuesday/index.txt) |
| 2042 | Common | [Wednesday](./common/wednesday/index.txt) |
| 2043 | Common | [Thursday](./common/thursday/index.txt) |
| 2044 | Leap | [Friday](./leap/friday/index.txt) |
| 2045 | Common | [Sunday](./common/sunday/index.txt) |
| 2046 | Common | [Monday](./common/monday/index.txt) |
| 2047 | Common | [Tuesday](./common/tuesday/index.txt) |
| 2048 | Leap | [Wednesday](./leap/wednesday/index.txt) |
| 2049 | Common | [Friday](./common/friday/index.txt) |
| 2050 | Common | [Saturday](./common/saturday/index.txt) |
| 2051 | Common | [Sunday](./common/sunday/index.txt) |
| 2052 | Leap | [Monday](./leap/monday/index.txt) |
